argument_id,arguments,rater_position,response_ratings,arguer_position,argument_index,argument_position,condition
1,immigration control- being part of EU has made the country over crowded,Pro,5,Pro,253,For,Baseline
3,To help control our own economy and create more job opportunites for our people,Pro,5,Pro,261,For,Baseline
2,To work on Britain and focus on our country,Pro,7,Pro,242,For,Baseline
3,Less immigration or controlled immigration,Pro,5,Pro,267,For,Baseline
1,Our own laws which had been eroded,Pro,7,Pro,247,For,Baseline
3,'-To have more control of our laws and regulations and the security of Britain,Pro,7,Pro,243,For,Baseline
3,Interest of British People,Pro,5,Pro,255,For,Baseline
1,Voting leave will mean that some products will be cheaper as we will not be importing them from other countries.,Pro,5,Pro,289,For,Baseline
2,"They always change the goal posts for agreements, e.g. an agreement needs to be made negotiated but they didn't allow any concessions, not budging on any points and saying 'time is running out'",Pro,5,Pro,278,For,Baseline
2,"The financial benefits of not having to pay huge sums of money into a governing body who are not accountable for their funds and have not had their accounts passed for audit in over twenty years,",Pro,6,Pro,296,For,Baseline
2,Less interference from the EU.,Pro,7,Pro,266,For,Baseline
2,restriction of trade,Pro,5,Pro,248,For,Baseline
2,Too many rules being imposed,Pro,7,Pro,272,For,Baseline
3,uncontrolled immigration,Pro,7,Pro,249,For,Baseline
2,To help us control our own money and  support UK based businesses,Pro,7,Pro,260,For,Baseline
2,Voting leave will give our nation a sense of independence as a small island.,Pro,7,Pro,290,For,Baseline
3,the EU never really wanted us to be part of it in the first place.,Pro,4,Pro,279,For,Baseline
3,Too many restrictions,Pro,7,Pro,273,For,Baseline
1,The 'pillar' countries of the EU always have more sway than the other members as they have more power and say over things that are to be passed or not,Pro,7,Pro,277,For,Baseline
3,Most importantly it will give the UK the opportunity to make their own laws and not have to abide by those made by the EU and which many do not agree with and more to the point made by an unelected bo,Pro,7,Pro,297,For,Baseline
3,Better for local small businesses,Pro,7,Pro,291,For,Baseline
1,For our independence and gain some of our powers back.,Pro,7,Pro,283,For,Baseline
2,UK to govern own rules rather than EU rules,Pro,7,Pro,254,For,Baseline
1,More control over decisions,Pro,7,Pro,265,For,Baseline
1,Paying too much to be a member,Pro,7,Pro,271,For,Baseline
2,To support British Businesses and stop them from paying EU taxes for selling abroad.,Pro,7,Pro,284,For,Baseline
1,In order for the UK to regain control over immigration and border control.,Pro,7,Pro,259,For,Baseline
1,More jobs for British people,Pro,7,Pro,241,For,Baseline
3,Stop us from paying out lots of money to EU as we paid them a lot and more than some other EU countries.,Pro,7,Pro,285,For,Baseline
1,It would be possible to commence preventing unwanted immigration into the UK. More importantly any immigration could be controlled.,Pro,7,Pro,295,For,Baseline
2,Too many rules being imposed,Pro,6,Pro,272,For,Baseline
1,More control over decisions,Pro,7,Pro,265,For,Baseline
3,Stop us from paying out lots of money to EU as we paid them a lot and more than some other EU countries.,Pro,6,Pro,285,For,Baseline
2,Less interference from the EU.,Pro,5,Pro,266,For,Baseline
1,More jobs for British people,Pro,4,Pro,241,For,Baseline
1,immigration control- being part of EU has made the country over crowded,Pro,6,Pro,253,For,Baseline
