"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
3,1.65166e+12,"04/05/2022 11:30",6404852,4,1,"Neither Agree nor Disagree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",3,"Leave","To be an independent country","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,15,101,"For","PRO",0,0,0,1,0
6,1.65166e+12,"04/05/2022 11:30",6404852,4,4,"Strongly Agree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Stop paying for eu profligate expenses.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,9,101,"For","PRO",0,0,0,1,0
7,1.65166e+12,"04/05/2022 11:30",6404852,4,5,"Strongly Agree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Freedom to do what is best for our economy - the one-size-fits-all model put on a heterogenous EU is failing. We can make decisions which best fit the needs of our coountry.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,32,101,"For","PRO",0,0,0,1,0
10,1.65166e+12,"04/05/2022 11:31",6404852,4,8,"Agree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",2,"Leave","The UK wouldn't be paying into the EU each week,.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,50,101,"For","PRO",0,0,0,1,0
11,1.65166e+12,"04/05/2022 11:31",6404852,4,9,"Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",3,"Leave","make our own laws and decide what we agree or disagree with","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,21,101,"For","PRO",0,0,0,1,0
12,1.65166e+12,"04/05/2022 11:31",6404852,4,10,"Somewhat Agree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",2,"Leave","To Reduce Immigration ","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,14,101,"For","PRO",0,0,0,1,0
13,1.65166e+12,"04/05/2022 11:31",6404852,4,11,"Neither Agree nor Disagree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",1,"Leave","Immigration - free movement damages the chances of workers in this country and drives down pay","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,55,101,"For","PRO",0,0,0,1,0
14,1.65166e+12,"04/05/2022 11:31",6404852,4,12,"Agree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",2,"Leave","The interests of Britain can be foremost and not have to make decisions for an enormous area and population.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,8,101,"For","PRO",0,0,0,1,0
15,1.65166e+12,"04/05/2022 11:31",6404852,4,13,"Strongly Agree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Leaving is a new option where we can look at global opportunities and collaborating with a wider market.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,2,101,"For","PRO",0,0,0,1,0
16,1.65166e+12,"04/05/2022 11:31",6404852,4,14,"Strongly Agree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",2,"Leave","Laws being made in a parliament where we really don't have a say ","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,56,101,"For","PRO",0,0,0,1,0
20,1.65166e+12,"04/05/2022 11:32",6404852,4,18,"Strongly Agree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",3,"Leave","To stop the eu dictating ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,39,101,"For","PRO",0,0,0,1,0
21,1.65166e+12,"04/05/2022 11:32",6404852,4,19,"Neither Agree nor Disagree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",2,"Leave","To make Britain British again ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,38,101,"For","PRO",0,0,0,1,0
25,1.65166e+12,"04/05/2022 11:32",6404852,4,23,"Somewhat Agree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",1,"Leave","Independence from Europe ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,25,101,"For","PRO",0,0,0,1,0
27,1.65166e+12,"04/05/2022 11:32",6404852,4,25,"Neither Agree nor Disagree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",2,"Leave","get Britain great again","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,20,101,"For","PRO",0,0,0,1,0
29,1.65166e+12,"04/05/2022 11:32",6404852,4,27,"Agree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Being able to make our own independent UK laws and regulations.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,49,101,"For","PRO",0,0,0,1,0
30,1.65166e+12,"04/05/2022 11:32",6404852,4,28,"Agree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",1,"Leave","To have Freedom back ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,37,101,"For","PRO",0,0,0,1,0
32,1.65166e+12,"04/05/2022 11:32",6404852,4,30,"Somewhat Disagree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",2,"Leave","The return of duty free tobacco and spirits","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",3,26,101,"For","PRO",0,0,0,1,0
35,1.65166e+12,"04/05/2022 11:33",6404852,4,33,"Strongly Disagree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Return to parliamentary sovereignty - people accountble to the electrorate making laws.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,31,101,"For","PRO",0,0,0,1,0
36,1.65166e+12,"04/05/2022 11:33",6404852,4,34,"Strongly Disagree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",1,"Leave","Save money from being in the eu ","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",1,13,101,"For","PRO",0,0,0,1,0
42,1.65166e+12,"04/05/2022 11:33",6404852,4,40,"Somewhat Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",1,"Leave","To gain control of our borders","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",5,43,101,"For","PRO",0,0,0,1,0
46,1.65166e+12,"04/05/2022 11:33",6404852,4,44,"Somewhat Agree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",3,"Leave","More freedom for fishermen","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,27,101,"For","PRO",0,0,0,1,0
49,1.65166e+12,"04/05/2022 11:33",6404852,4,47,"Somewhat Agree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Regain control of borders - no need to give priority immigration access to all EU citizens at the expense of non-EU citizens. We can make our own choices on how to deal with illegal migration.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,33,101,"For","PRO",0,0,0,1,0
50,1.65166e+12,"04/05/2022 11:33",6404852,4,48,"Strongly Agree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",3,"Leave","The UK can create its own immigration system.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,51,101,"For","PRO",0,0,0,1,0
53,1.65166e+12,"04/05/2022 11:34",6404852,4,51,"Somewhat Agree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We can take in refugees from countries outside of Europe who are in more need than people who live in Europe.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,3,101,"For","PRO",0,0,0,1,0
54,1.65166e+12,"04/05/2022 11:34",6404852,4,52,"Somewhat Agree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",1,"Leave","There was no politician that argued a strong case for staying.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,1,101,"For","PRO",0,0,0,1,0
57,1.65166e+12,"04/05/2022 11:34",6404852,4,55,"Somewhat Agree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",1,"Leave","To have an elected government in charge of us.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,7,101,"For","PRO",0,0,0,1,0
58,1.65166e+12,"04/05/2022 11:34",6404852,4,56,"Somewhat Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",1,"Leave","less immigration coming to the uk","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,19,101,"For","PRO",0,0,0,1,0
60,1.65166e+12,"04/05/2022 11:34",6404852,4,58,"Strongly Agree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",3,"Leave","The constant dismissal of Britain when we wish to raise issues but the EU were very happy to receive our net contributions.","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,57,101,"For","PRO",0,0,0,1,0
61,1.65166e+12,"04/05/2022 11:34",6404852,4,59,"Strongly Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",2,"Leave","For the UK to be able to trade freely with who wish ","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,44,101,"For","PRO",0,0,0,1,0
64,1.65166e+12,"04/05/2022 11:34",6404852,4,62,"Strongly Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",3,"Leave","UK to have their own laws","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,45,101,"For","PRO",0,0,0,1,0
9,1.65166e+12,"04/05/2022 11:38",6404938,4,7,"Somewhat Agree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",3,"Leave","The constant dismissal of Britain when we wish to raise issues but the EU were very happy to receive our net contributions.","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,57,102,"For","PRO",0,0,0,1,0
10,1.65166e+12,"04/05/2022 11:38",6404938,4,8,"Agree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We can take in refugees from countries outside of Europe who are in more need than people who live in Europe.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,3,102,"For","PRO",0,0,0,1,0
11,1.65166e+12,"04/05/2022 11:38",6404938,4,9,"Neither Agree nor Disagree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Return to parliamentary sovereignty - people accountble to the electrorate making laws.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,31,102,"For","PRO",0,0,0,1,0
