"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
3,1651853926097,"06/05/2022 16:18:46",6421483,3,1,"Somewhat Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","wanted things to be like an older time",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",3,656,301,"For","ANTI",0,1,1,0,0,0,0
4,1651853929396,"06/05/2022 16:18:49",6421483,3,2,"Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","don't want immigrants",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",2,657,301,"For","ANTI",0,1,1,0,0,0,0
5,1651853935163,"06/05/2022 16:18:55",6421483,3,3,"Somewhat Agree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Wanting oversight on own laws noT Eu court of human rights ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",5,608,301,"For","ANTI",0,1,1,0,0,0,1
6,1651853939741,"06/05/2022 16:18:59",6421483,3,4,"Disagree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I don't want foreigners coming to the UK and taking our jobs",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",2,601,301,"For","ANTI",0,1,1,0,0,0,0
7,1651853944298,"06/05/2022 16:19:04",6421483,3,5,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","We in the UK are paying too much towards the EU; more than our fair share",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,643,301,"For","ANTI",0,1,1,0,0,1,1
10,1651853963338,"06/05/2022 16:19:23",6421483,3,8,"Neither Agree nor Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",3,"Leave","No idea for a third reason ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",4,633,301,"For","ANTI",0,1,1,0,0,0,0
12,1651853973085,"06/05/2022 16:19:33",6421483,3,10,"Somewhat Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",3,"Leave","I want stricter boarder controls ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",5,603,301,"For","ANTI",0,1,1,0,0,0,1
13,1651853978022,"06/05/2022 16:19:38",6421483,3,11,"Neither Agree nor Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Cost of items. Believe it will be lower. ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",4,609,301,"For","ANTI",0,1,1,0,0,0,0
14,1651853980852,"06/05/2022 16:19:40",6421483,3,12,"Strongly Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","wanted more independence",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",7,655,301,"For","ANTI",0,1,1,0,0,1,1
15,1651853988244,"06/05/2022 16:19:48",6421483,3,13,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","We want to retain our national sovereignty and are at risk of losing it if we stay in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,645,301,"For","ANTI",0,1,1,0,0,1,1
