"Event.Index","UTC.Timestamp","UTC.Date","Tree.Node.Key","Experiment.ID","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
4,1659975163618,"08/08/2022 16:12:43","task-b5vt",94826,6895694,2,2,"Strongly Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",5,"For","I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others","Pro",7,629,301,"For","PRO",0,0,0,1,0
8,1659975182422,"08/08/2022 16:13:02","task-b5vt",94826,6895694,2,6,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",4,"For","They wish for life to return to normal and the best way to achieve this is maximum uptake ","Pro",6,628,301,"For","PRO",0,0,0,1,0
9,1659975188287,"08/08/2022 16:13:08","task-b5vt",94826,6895694,2,7,"Somewhat Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",4,"For","Reduced risk of getting COVID.","Pro",5,658,301,"For","PRO",0,0,0,1,0
10,1659975194791,"08/08/2022 16:13:14","task-b5vt",94826,6895694,2,8,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",6,"For","More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs","Pro",6,630,301,"For","PRO",0,0,0,1,0
11,1659975201306,"08/08/2022 16:13:21","task-b5vt",94826,6895694,2,9,"Somewhat Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",4,"For","It is the only way we can effectively eliminate the virus from the world.","Pro",5,640,301,"For","PRO",0,0,0,1,0
13,1659975215134,"08/08/2022 16:13:35","task-b5vt",94826,6895694,2,11,"Agree","statements",8,"Most months","Most months",20,"Male","A levels",6,"For","To help end the negative social impact of the virus such as lockdowns and online education","Pro",6,648,301,"For","PRO",0,0,0,1,0
15,1659975227061,"08/08/2022 16:13:47","task-b5vt",94826,6895694,2,13,"Somewhat Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",6,"For","Less restrictions on behaviour due to immunity.","Pro",5,660,301,"For","PRO",0,0,0,1,0
17,1659975238483,"08/08/2022 16:13:58","task-b5vt",94826,6895694,2,15,"Strongly Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's the right thing to do to protect everyone else","Pro",7,604,301,"For","PRO",0,0,0,1,0
19,1659975246524,"08/08/2022 16:14:06","task-b5vt",94826,6895694,2,17,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",5,"For","The vaccines are safe enough to use","Pro",6,653,301,"For","PRO",0,0,0,1,0
22,1659975270674,"08/08/2022 16:14:30","task-b5vt",94826,6895694,2,20,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",6,"For","The risk of dying from covid reduces with a vaccine.","Pro",6,642,301,"For","PRO",0,0,0,1,0
23,1659975275079,"08/08/2022 16:14:35","task-b5vt",94826,6895694,2,21,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",5,"For","It's one of the only ways we will return to normal life","Pro",6,611,301,"For","PRO",0,0,0,1,0
24,1659975279358,"08/08/2022 16:14:39","task-b5vt",94826,6895694,2,22,"Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",6,"For","Alot of people have died from getting Covid and I want to keep my self safe and I trust it ","Pro",6,636,301,"For","PRO",0,0,0,1,0
26,1659975297186,"08/08/2022 16:14:57","task-b5vt",94826,6895694,2,24,"Somewhat Agree","statements",8,"Most months","Most months",20,"Male","A levels",4,"For","To gain immunity against COVID 19.","Pro",5,646,301,"For","PRO",0,0,0,1,0
