"Event.Index","UTC.Timestamp","UTC.Date","Tree.Node.Key","Experiment.ID","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
6,1658935730422,"27/07/2022 15:28:50","task-an6x",94050,6847612,3,4,"Strongly Disagree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",3,"For","I want to be able to fly for holidays this summer.","Pro",1,27,1,"For","ANTI",0,1,1,0,0,0,0
7,1658935734448,"27/07/2022 15:28:54","task-an6x",94050,6847612,3,5,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",1,"For","Its the only way to stop the spread of the virus","Pro",7,13,1,"For","ANTI",0,1,1,0,0,1,1
9,1658935742563,"27/07/2022 15:29:02","task-an6x",94050,6847612,3,7,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",3,"For","We must have the vaccine in order to return to normality. ","Pro",7,21,1,"For","ANTI",0,1,1,0,0,1,1
10,1658935748616,"27/07/2022 15:29:08","task-an6x",94050,6847612,3,8,"Somewhat Agree","statements",1,"Most days","Most months",32,"Female","A levels",1,"For","i was fine are a few days.","Pro",5,1,1,"For","ANTI",0,1,1,0,0,0,0
14,1658935760692,"27/07/2022 15:29:20","task-an6x",94050,6847612,3,12,"Strongly Agree","statements",1,"Most days","Most months",32,"Female","A levels",3,"For","it will help you protect yourself. ","Pro",7,3,1,"For","ANTI",0,1,1,0,0,1,1
15,1658935765491,"27/07/2022 15:29:25","task-an6x",94050,6847612,3,13,"Strongly Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",1,"For","Protects you against the virus so that you have immunity against it","Pro",7,7,1,"For","ANTI",0,1,1,0,0,1,1
16,1658935767240,"27/07/2022 15:29:27","task-an6x",94050,6847612,3,14,"Strongly Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",3,"For","Im doing my bit to help ","Pro",7,57,1,"For","ANTI",0,1,1,0,0,1,1
17,1658935770229,"27/07/2022 15:29:30","task-an6x",94050,6847612,3,15,"Strongly Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",1,"For","To protect me from becoming seriously ill if I caught Covid","Pro",7,43,1,"For","ANTI",0,1,1,0,0,1,1
23,1658935792138,"27/07/2022 15:29:52","task-an6x",94050,6847612,3,21,"Strongly Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",3,"For","It will stop me from getting covid.","Pro",7,39,1,"For","ANTI",0,1,1,0,0,1,1
24,1658935797543,"27/07/2022 15:29:57","task-an6x",94050,6847612,3,22,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",1,"For","The vaccine is perfectly safe and better versions have already been produced.","Pro",7,19,1,"For","ANTI",0,1,1,0,0,1,1
26,1658935803447,"27/07/2022 15:30:03","task-an6x",94050,6847612,3,24,"Strongly Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",2,"For","Everyone else is getting vaccinated.","Pro",7,26,1,"For","ANTI",0,1,1,0,0,1,1
