"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","gender","edu","argument_ID","Arg_Position","Arguments","stanely_V","stanley_Nv","intellectual_v_1","intellectual_v_2","intellectual_v_3","intellectual_Nv_1","intellectual_Nv_2","intellectual_Nv_3","morality_v_1","morality_v_2","morality_v_3","morality_Nv_1","morality_Nv_2","morality_Nv_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
4,1647020347496,"11/03/2022 17:39:07",6024015,2,2,"Somewhat Disagree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",2,"vegan","having food allergies","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",3,626,301,"For","ANTI",0,1,1,0,0,0,0
6,1647020356699,"11/03/2022 17:39:16",6024015,2,4,"Strongly Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",2,"vegan","People harm animals in order to eat","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,650,301,"For","ANTI",0,1,1,0,0,1,1
8,1647020367216,"11/03/2022 17:39:27",6024015,2,6,"Strongly Disagree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",3,"vegan"," being anti animal cruelty","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,627,301,"For","ANTI",0,1,1,0,0,0,0
12,1647020392859,"11/03/2022 17:39:52",6024015,2,10,"Strongly Agree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,"vegan","respect for animals
","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,656,301,"For","ANTI",0,1,1,0,0,1,1
13,1647020401166,"11/03/2022 17:40:01",6024015,2,11,"Strongly Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",1,"vegan","It's good for the enviorment ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,607,301,"For","ANTI",0,1,1,0,0,1,1
16,1647020415860,"11/03/2022 17:40:15",6024015,2,14,"Neither Agree nor Disagree","statements",3,"Never","Once or twice a year","Male","A levels",1,"vegan","Environmental protection","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,613,301,"For","ANTI",0,1,1,0,0,0,0
17,1647020422744,"11/03/2022 17:40:22",6024015,2,15,"Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",2,"vegan","Reducing climate change/environmental impact","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,602,301,"For","ANTI",0,1,1,0,0,1,1
21,1647020446332,"11/03/2022 17:40:46",6024015,2,19,"Agree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",1,"vegan","protecting the environment","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,625,301,"For","ANTI",0,1,1,0,0,1,1
24,1647020470942,"11/03/2022 17:41:10",6024015,2,22,"Strongly Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",1,"vegan","I feel sorry for the animals killed/exploited for consumption","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,631,301,"For","ANTI",0,1,1,0,0,1,1
25,1647020474026,"11/03/2022 17:41:14",6024015,2,23,"Agree","statements",4,"Never","Never","Female","A levels",2,"vegan","Helping the environment","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,620,301,"For","ANTI",0,1,1,0,0,1,1
26,1647020481399,"11/03/2022 17:41:21",6024015,2,24,"Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",2,"vegan","Saving animals the suffering","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,644,301,"For","ANTI",0,1,1,0,0,1,1
28,1647020491076,"11/03/2022 17:41:31",6024015,2,26,"Strongly Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",2,"vegan","Being vegan is better for your health","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,638,301,"For","ANTI",0,1,1,0,0,1,1
30,1647020498668,"11/03/2022 17:41:38",6024015,2,28,"Neither Agree nor Disagree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,"vegan","healthy food with low fat ","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,655,301,"For","ANTI",0,1,1,0,0,0,0
32,1647020505984,"11/03/2022 17:41:45",6024015,2,30,"Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",3,"vegan","Personal health and wellbeing ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,603,301,"For","ANTI",0,1,1,0,0,1,1
33,1647020512575,"11/03/2022 17:41:52",6024015,2,31,"Strongly Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",2,"vegan","It's healthier than eating meat and fast food. ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,608,301,"For","ANTI",0,1,1,0,0,1,1
36,1647020529340,"11/03/2022 17:42:09",6024015,2,34,"Strongly Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",1,"vegan","Animals deserve to live","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,649,301,"For","ANTI",0,1,1,0,0,1,1
38,1647020539392,"11/03/2022 17:42:19",6024015,2,36,"Agree","statements",4,"Never","Never","Female","A levels",1,"vegan","Protecting animals from harm","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,619,301,"For","ANTI",0,1,1,0,0,1,1
40,1647020549286,"11/03/2022 17:42:29",6024015,2,38,"Agree","statements",4,"Never","Never","Female","A levels",3,"vegan","Religious reasons, may believe its unethical to harm animals","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,621,301,"For","ANTI",0,1,1,0,0,1,1
41,1647020553454,"11/03/2022 17:42:33",6024015,2,39,"Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",3,"vegan","Saves animals from exploitation ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,609,301,"For","ANTI",0,1,1,0,0,1,1
46,1647020591784,"11/03/2022 17:43:11",6024015,2,44,"Strongly Agree","statements",3,"Never","Once or twice a year","Male","A levels",3,"vegan","Veganism is healthier diet","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,615,301,"For","ANTI",0,1,1,0,0,1,1
49,1647020603456,"11/03/2022 17:43:23",6024015,2,47,"Strongly Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",3,"vegan","I feel a vegan diet is cleaner and makes them feel better","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,633,301,"For","ANTI",0,1,1,0,0,1,1
50,1647020606952,"11/03/2022 17:43:26",6024015,2,48,"Strongly Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",1,"vegan","I am against animal cruelty","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,637,301,"For","ANTI",0,1,1,0,0,1,1
51,1647020610841,"11/03/2022 17:43:30",6024015,2,49,"Strongly Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",3,"vegan","You can still eat perfectly balanced without animal products","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,645,301,"For","ANTI",0,1,1,0,0,1,1
53,1647020629319,"11/03/2022 17:43:49",6024015,2,51,"Strongly Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",3,"vegan","It is better for the environment","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,639,301,"For","ANTI",0,1,1,0,0,1,1
