argument_id,arguments,rater_position,response_ratings,arguer_position,argument_index,argument_position,condition
3,I want to stay fit and healthy.,Pro,2,Pro,153,For,Baseline
3,"Animals suffer too much, as this industry has no tact to kill them and turn them into food",Pro,6,Pro,171,For,Baseline
2,I believe that an animal-based diet harms our health in the long run,Pro,1,Pro,170,For,Baseline
3,"And for Health purposes, a lot of studies showed time after time that having a vegan diet is beneficial for your overall health",Pro,6,Pro,141,For,Baseline
2,"For the ecology, to help against global warming. Intensive animal farming is one the main causes of environmental problems.",Pro,6,Pro,140,For,Baseline
2,you contribute less to climate change,Pro,6,Pro,176,For,Baseline
2,"For the environment, a vegan diet has a much smaller impact on the planet than a non-vegan one",Pro,7,Pro,146,For,Baseline
3,To be a more healthy person.,Pro,5,Pro,159,For,Baseline
3,For health reasons and staying healthy.,Pro,5,Pro,129,For,Baseline
2,To stop destroying the planet.,Pro,5,Pro,158,For,Baseline
1,For the weel being of animals.,Pro,6,Pro,157,For,Baseline
3,It's often better for the environment to follow a vegan diet rather than an omnivore one.,Pro,7,Pro,123,For,Baseline
1,The most important reason is the meat industry is the most polluting industry in the world.,Pro,7,Pro,169,For,Baseline
2,I do not like the taste of meat.,Pro,4,Pro,152,For,Baseline
2,"For health reasons, a whole foods plant based diet is the best that you can do for your body.",Pro,5,Pro,134,For,Baseline
3,for the sake of health,Pro,5,Pro,165,For,Baseline
1,For the environment.,Pro,7,Pro,127,For,Baseline
1,you wont eat dead animals,Pro,7,Pro,175,For,Baseline
1,"Against the animal exploitation, because more than 70 billion land animals are killed for food every year. Cows are raped repeatedly for milk until exhaustion and death, and separated from their calfs",Pro,7,Pro,139,For,Baseline
1,Killing animals is unethical.,Pro,7,Pro,121,For,Baseline
3,For the environment. Animal industry is one of the most detrimental for the Earth.,Pro,7,Pro,135,For,Baseline
1,I dont want to eat animals,Pro,7,Pro,163,For,Baseline
1,"For the animals, I don't want to cause any more suffering.",Pro,7,Pro,133,For,Baseline
1,For the wellbeing of the animals,Pro,7,Pro,145,For,Baseline
3,you probably feel better mentally and physically,Pro,6,Pro,177,For,Baseline
2,for the good of the environment,Pro,6,Pro,164,For,Baseline
3,"For your own health, a vegan diet when is well balanced is much healthier than an non-vegan one, and chances of having cardiovascular problems or obesity etc is reduced",Pro,6,Pro,147,For,Baseline
1,I want to be ecofriendly.,Pro,6,Pro,151,For,Baseline
2,A Vegan diet is often healthier.,Pro,6,Pro,122,For,Baseline
2,For the goodbeing animals.,Pro,5,Pro,128,For,Baseline
2,I do not like the taste of meat.,Pro,3,Pro,152,For,Baseline
